element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,4,2503.93,0.01,,,6.0,,N
Xe,3,2504.907,0.05,,,11.0,,N
Xe,4,2505.33,0.01,,,3.0,,N
Xe,3,2509.74,0.05,,,4.0,,N
Xe,2,2509.98,0.1,,,0.0,,N
Xe,3,2510.52,0.05,,,3.0,,N
Xe,3,2511.288,0.05,,,1.0,,N
Xe,3,2513.337,0.05,,,1.0,,N
Xe,5,2513.88,0.01,,,5.0,,N
Xe,3,2514.09,0.05,,,0.0,h,N
Xe,4,2514.69,0.01,,,6.0,,N
Xe,3,2515.117,0.05,,,6.0,,N
Xe,8,2516.8,0.8,,,-99.0,*,N
Xe,8,2516.8,0.8,,,-99.0,*,N
Xe,2,2517.06,0.1,,,1.0,,N
Xe,3,2521.428,0.05,,,5.0,,N
Xe,5,2522.04,0.01,,,1.0,,N
Xe,2,2523.67,0.1,,,0.0,,N
Xe,3,2523.967,0.05,,,7.0,,N
Xe,2,2523.97,0.1,,,1.0,,N
Xe,2,2524.46,0.1,,,3.0,,N
Xe,4,2524.92,0.01,,,1.0,,N
Xe,4,2525.51,0.01,,,3.0,,N
Xe,8,2526.4,0.8,,,-99.0,*,N
Xe,8,2526.4,0.8,,,-99.0,*,N
Xe,2,2526.79,0.1,,,12.0,,N
Xe,2,2526.98,0.1,,,12.0,,N
Xe,4,2529.58,0.01,,,3.0,,N
Xe,2,2530.18,0.1,,,2.0,,N
Xe,6,2530.6,0.8,,,-99.0,*,N
Xe,6,2530.6,0.8,,,-99.0,*,N
Xe,3,2533.318,0.05,,,7.0,,N
Xe,4,2534.18,0.01,,,1.0,,N
Xe,3,2536.868,0.05,,,7.0,,N
Xe,2,2538.02,0.1,,,3.0,h,N
Xe,5,2538.6,0.01,,,11.0,,N
Xe,3,2538.918,0.05,,,1.0,,N
Xe,3,2541.028,0.05,,,1.0,,N
Xe,3,2541.88,0.05,,,3.0,,N
Xe,3,2544.1,0.05,,,2.0,,N
Xe,3,2550.55,0.05,,,3.0,*,N
Xe,3,2550.55,0.05,,,3.0,*,N
Xe,2,2551.7,0.1,,,3.0,,N
Xe,2,2553.79,0.1,,,0.0,,N
Xe,2,2554.2,0.1,,,1.0,-,N
Xe,4,2559.94,0.01,,,10.0,,N
Xe,2,2561.48,0.1,,,2.0,,N
Xe,4,2564.13,0.01,,,12.0,,N
Xe,3,2568.81,0.05,,,9.0,*,N
Xe,3,2568.81,0.05,,,9.0,*,N
Xe,3,2570.26,0.05,,,5.0,,N
Xe,3,2572.33,0.05,,,7.0,*,N
Xe,3,2572.33,0.05,,,7.0,*,N
Xe,2,2572.93,0.1,,,0.0,*,N
Xe,2,2572.93,0.1,,,0.0,*,N
Xe,4,2572.93,0.01,,,10.0,,N
Xe,4,2573.36,0.01,,,2.0,,N
Xe,3,2574.61,0.05,,,2.0,,N
Xe,2,2576.97,0.1,,,15.0,,N
Xe,3,2578.37,0.05,,,13.0,,N
Xe,3,2578.62,0.05,,,9.0,,N
Xe,2,2584.88,0.1,,,1.0,,N
Xe,4,2589.03,0.01,,,1.0,,N
Xe,3,2590.42,0.05,,,12.0,,N
Xe,3,2591.24,0.05,,,8.0,,N
